filepath,series,title,number,summary,year,month,writer,artist,publisher,format
Regular Show (2013)/Regular Show (2013) #19.cbz,Regular Show (2013),Regular Show (2013) #19,19,,2015,1,Nick Sumida,Allison Strejlau,Boom,Comic
Regular Show (2013)/Regular Show (2013) #20.cbz,Regular Show (2013),Regular Show (2013) #20,20,,2015,2,Nick Sumida,Allison Strejlau,Boom,Comic
Regular Show (2013)/Regular Show (2013) #21.cbz,Regular Show (2013),Regular Show (2013) #21,21,,2015,3,Kevin Church,Mad Rupert,Boom,Comic
Regular Show (2013)/Regular Show (2013) #22.cbz,Regular Show (2013),Regular Show (2013) #22,22,,2015,4,Mad Rupert,Allison Strejlau,Boom,Comic
Regular Show (2013)/Regular Show (2013) #23.cbz,Regular Show (2013),Regular Show (2013) #23,23,,2015,5,Mad Rupert,Allison Strejlau,Boom,Comic
Regular Show (2013)/Regular Show (2013) #24.cbz,Regular Show (2013),Regular Show (2013) #24,24,,2015,6,Mad Rupert,Allison Strejlau,Boom,Comic
Regular Show (2013)/Regular Show (2013) #25.cbz,Regular Show (2013),Regular Show (2013) #25,25,,2015,7,Kevin Church,Mad Rupert,Boom,Comic
Regular Show (2013)/Regular Show (2013) #26.cbz,Regular Show (2013),Regular Show (2013) #26,26,,2015,8,Mad Rupert,Wook Jin Clark,Boom,Comic
Regular Show (2013)/Regular Show (2013) #27.cbz,Regular Show (2013),Regular Show (2013) #27,27,,2015,9,Mad Rupert,Wook Jin Clark,Boom,Comic
Regular Show (2013)/Regular Show (2013) #28.cbz,Regular Show (2013),Regular Show (2013) #28,28,,2015,10,Mad Rupert,Wook Jin Clark,Boom,Comic
Regular Show (2013)/Regular Show (2013) #29.cbz,Regular Show (2013),Crystal Catastrophe Part 1,29,,2015,11,Mad Rupert,Laura Howell,Boom,Comic
Regular Show (2013)/Regular Show (2013) #30.cbz,Regular Show (2013),Crystal Catastrophe Part 2,30,,2015,12,Mad Rupert,Laura Howell,Boom,Comic
Regular Show (2013)/Regular Show (2013) #31.cbz,Regular Show (2013),Crystal Catastrophe Part 3,31,,2016,1,Mad Rupert,Laura Howell,Boom,Comic
Regular Show (2013)/Regular Show (2013) #32.cbz,Regular Show (2013),Crystal Catastrophe Part 4,32,,2016,2,Mad Rupert,Laura Howell,Boom,Comic
Regular Show (2013)/Regular Show (2013) #33.cbz,Regular Show (2013),Kaiju Ex,33,,2016,3,Shanna Matuszak,Will Kirkby,Boom,Comic
Regular Show (2013)/Regular Show (2013) #34.cbz,Regular Show (2013),Real Deal Heroes Part 1,34,,2016,4,"Ulises Farinas, Erick Freitas",Laura Howell,Boom,Comic
Regular Show (2013)/Regular Show (2013) #35.cbz,Regular Show (2013),Real Deal Heroes Part 2,35,,2016,5,"Ulises Farinas, Erick Freitas",Laura Howell,Boom,Comic
Regular Show (2013)/Regular Show (2013) #36.cbz,Regular Show (2013),Real Deal Heroes Part 3,36,,2016,6,"Ulises Farinas, Erick Freitas",Laura Howell,Boom,Comic
Regular Show (2013)/Regular Show (2013) #37.cbz,Regular Show (2013),Apocalypse Benson Part 1,37,,2016,7,Mad Rupert,Laura Howell,Boom,Comic
Regular Show (2013)/Regular Show (2013) #38.cbz,Regular Show (2013),Apocalypse Benson Part 2,38,,2016,8,Mad Rupert,Laura Howell,Boom,Comic
Regular Show (2013)/Regular Show (2013) #39.cbz,Regular Show (2013),Apocalypse Benson Part 3,39,,2016,9,Mad Rupert,Laura Howell,Boom,Comic
Regular Show (2013)/Regular Show (2013) #40.cbz,Regular Show (2013),Apocalypse Benson Part 4,40,,2016,10,Mad Rupert,Laura Howell,Boom,Comic
Scott Pilgrim/Volume #01 - Scott Pilgrim's Precious Little Life.cbz,Scott Pilgrim,Scott Pilgrim's Precious Little Life,1,,2004,8,Bryan Lee O’Malley,Bryan Lee O’Malley,Oni Press,Comic
Scott Pilgrim/Volume #02 - Scott Pilgrim vs. the World.cbz,Scott Pilgrim,Scott Pilgrim vs. the World,2,,2005,6,Bryan Lee O’Malley,Bryan Lee O’Malley,Oni Press,Comic
Scott Pilgrim/Volume #03 - Scott Pilgrim & the Infinite Sadness.cbz,Scott Pilgrim,Scott Pilgrim & the Infinite Sadness,3,,2006,5,Bryan Lee O’Malley,Bryan Lee O’Malley,Oni Press,Comic
Scott Pilgrim/Volume #04 - Scott Pilgrim Gets it Together.cbz,Scott Pilgrim,Scott Pilgrim Gets it Together,4,,2007,11,Bryan Lee O’Malley,Bryan Lee O’Malley,Oni Press,Comic
Scott Pilgrim/Volume #05 - Scott Pilgrim vs. the Universe.cbz,Scott Pilgrim,Scott Pilgrim vs. the Universe,5,,2009,2,Bryan Lee O’Malley,Bryan Lee O’Malley,Oni Press,Comic
Scott Pilgrim/Volume #06 - Scott Pilgrim's Finest Hour.cbz,Scott Pilgrim,Scott Pilgrim's Finest Hour,6,,2010,7,Bryan Lee O’Malley,Bryan Lee O’Malley,Oni Press,Comic
Seven Secrets (2021)/Volume #01.cbz,Seven Secrets (2021),Volume #01,1,Seven Secrets (2021) #1-6,2021,,Tom Taylor,Daniele Di Nicolò,Boom,Trade Paperback
Sex Criminals (2013)/Sex Criminals (2013) #01.cbz,Sex Criminals (2013),Suzie Down in the Quiet,1,,2013,9,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #02.cbz,Sex Criminals (2013),"Come, World",2,,2013,10,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #03.cbz,Sex Criminals (2013),My Sexual Errors and Misfortunes 2001-Present,3,,2013,11,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #04.cbz,Sex Criminals (2013),Sex Police,4,,2014,1,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #05.cbz,Sex Criminals (2013),Going Down,5,,2014,3,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #06.cbz,Sex Criminals (2013),Coming On,6,,2014,6,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #07.cbz,Sex Criminals (2013),"Break, Enter",7,,2014,8,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #08.cbz,Sex Criminals (2013),Robert Rainbow,8,,2014,10,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #09.cbz,Sex Criminals (2013),Ana,9,,2014,12,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #10.cbz,Sex Criminals (2013),Alone Together,10,,2015,1,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #11.cbz,Sex Criminals (2013),Manime,11,,2015,7,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #12.cbz,Sex Criminals (2013),We Think It’s the Fluids that Keep Getting Us Banned on iTunes and Android,12,,2015,9,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #13.cbz,Sex Criminals (2013),Bace,13,,2015,10,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #14.cbz,Sex Criminals (2013),Ladies Please,14,,2016,2,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #15.cbz,Sex Criminals (2013),The Crew,15,,2016,4,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #16.cbz,Sex Criminals (2013),Goals,16,,2017,2,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #17.cbz,Sex Criminals (2013),The Skell,17,,2017,3,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #18.cbz,Sex Criminals (2013),Totems,18,,2017,4,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #19.cbz,Sex Criminals (2013),Down With the Thickness,19,,2017,5,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #20.cbz,Sex Criminals (2013),Outs,20,,2017,8,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #21.cbz,Sex Criminals (2013),Spaces,21,,2018,1,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #22.cbz,Sex Criminals (2013),Follow the Honey,22,,2018,2,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #23.cbz,Sex Criminals (2013),My Epiphany,23,,2018,4,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #24.cbz,Sex Criminals (2013),Would You Like Some Help With That,24,,2018,5,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #25.cbz,Sex Criminals (2013),No Tell,25,,2018,7,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #26.cbz,Sex Criminals (2013),The End Part 1,26,,2020,1,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #27.cbz,Sex Criminals (2013),The End Part 2,27,,2020,2,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #28.cbz,Sex Criminals (2013),The End Part 3,28,,2020,3,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #29.cbz,Sex Criminals (2013),The End Part 4,29,,2020,7,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #30.cbz,Sex Criminals (2013),The End Part 5,30,,2020,8,Matt Fraction,Chip Zdarsky,Image,Comic
Sex Criminals (2013)/Sex Criminals (2013) #69.cbz,Sex Criminals (2013),Happy Ending,69,,2020,10,Matt Fraction,Chip Zdarsky,Image,Comic
Space Usagi- Death and Honor (1994)/Volume #01.cbz,Space Usagi: Death and Honor (1994),Volume #01,1,,2024,,Stan Sakai,Stan Sakai,Dark Horse,Trade Paperback
Space Usagi- White Star Rising (2024)/Space Usagi- White Star Rising (2024) #01.cbz,Space Usagi: White Star Rising (2024),Space Usagi: White Star Rising (2024) #01,1,,1993,,Stan Sakai,Stan Sakai,Dark Horse,Comic
Space Usagi- White Star Rising (2024)/Space Usagi- White Star Rising (2024) #02.cbz,Space Usagi: White Star Rising (2024),Space Usagi: White Star Rising (2024) #02,2,,1993,,Stan Sakai,Stan Sakai,Dark Horse,Comic
Space Usagi- White Star Rising (2024)/Space Usagi- White Star Rising (2024) #03.cbz,Space Usagi: White Star Rising (2024),Space Usagi: White Star Rising (2024) #03,3,,1993,,Stan Sakai,Stan Sakai,Dark Horse,Comic
Spider-Gwen (2015A)/Volume #01 - Most Wanted?.cbz,Spider-Gwen (2015A),Most Wanted?,1,Edge of Spider-Verse (2014) #2 & Spider-Gwen (2015A) #1-5,2018,,Jason Latour,Robbi Rodriguez,Marvel,Trade Paperback
Spider-Gwen (2016B)/Volume #01 - Greater Power.cbz,Spider-Gwen (2016B),Greater Power,1,Spider-Gwen (2015B) #1-6,2016,,Jason Latour,"Robbi Rodriguez, Chris Visions",Marvel,Trade Paperback
Spider-Gwen (2016B)/Volume #02 - Weapon of Choice.cbz,Spider-Gwen (2016B),Weapon of Choice,2,Spider-Gwen (2015B) #9-13,2016,,Jason Latour,Robbi Rodriguez,Marvel,Trade Paperback
Spider-Gwen (2016B)/Volume #03 - Long-Distance.cbz,Spider-Gwen (2016B),Long-Distance,3,"Spider-Gwen (2015B) #14-15, Annual #1 & All-New Wolverine (2016) Annual #1",2017,,Jason Latour,"Robbi Rodriguez, Chris Visions",Marvel,Trade Paperback
Spider-Gwen (2016B)/Volume #04 - Predators.cbz,Spider-Gwen (2016B),Predators,4,Spider-Gwen (2015B) #19-23,2020,,Jason Latour,"Robbi Rodriguez, Jorge Coelho",Marvel,Trade Paperback
Spider-Gwen (2016B)/Volume #05 - Gwenom.cbz,Spider-Gwen (2016B),Gwenom,5,Spider-Gwen (2015B) #24-29,2018,,Jason Latour,"Robbi Rodriguez, Veronica Fish, Olivia Margraf",Marvel,Trade Paperback
Spider-Gwen (2016B)/Volume #06 - The Life of Gwen Stacy.cbz,Spider-Gwen (2016B),The Life of Gwen Stacy,6,Spider-Gwen (2015B) #30-34,2018,,Jason Latour,"Robbi Rodriguez, Chris Visions",Marvel,Trade Paperback
Spider-Man (2019)/Spider-Man (2019) #01.cbz,Spider-Man (2019),Bloodline Part 1,1,,2019,9,"Henry Abrams, J.J. Abrams",Sara Pichelli,Marvel,Comic
Spider-Man (2019)/Spider-Man (2019) #02.cbz,Spider-Man (2019),Bloodline Part 2,2,,2019,10,"Henry Abrams, J.J. Abrams",Sara Pichelli,Marvel,Comic
Spider-Man (2019)/Spider-Man (2019) #03.cbz,Spider-Man (2019),Bloodline Part 3,3,,2019,12,"Henry Abrams, J.J. Abrams",Sara Pichelli,Marvel,Comic
Spider-Man (2019)/Spider-Man (2019) #04.cbz,Spider-Man (2019),Bloodline Part 4,4,,2020,9,"Henry Abrams, J.J. Abrams",Sara Pichelli,Marvel,Comic
Spider-Man (2019)/Spider-Man (2019) #05.cbz,Spider-Man (2019),Bloodline Part 5,5,,2020,12,"Henry Abrams, J.J. Abrams",Sara Pichelli,Marvel,Comic
Stranger Things (2018)/Stranger Things (2018) #01.cbz,Stranger Things (2018),Chapter 1,1,,2018,9,Jody Houser,Stefano Martino,Dark Horse,Comic
Stranger Things (2018)/Stranger Things (2018) #02.cbz,Stranger Things (2018),Chapter 2,2,,2018,10,Jody Houser,Stefano Martino,Dark Horse,Comic
Stranger Things (2018)/Stranger Things (2018) #03.cbz,Stranger Things (2018),Chapter 3,3,,2018,11,Jody Houser,Stefano Martino,Dark Horse,Comic
Stranger Things (2018)/Stranger Things (2018) #04.cbz,Stranger Things (2018),Chapter 4,4,,2019,1,Jody Houser,Stefano Martino,Dark Horse,Comic
Stranger Things SIX (2019)/Stranger Things SIX (2019) #01.cbz,Stranger Things SIX (2019),Chapter 1,1,,2019,5,Jody Houser,Edgar Salazar,Dark Horse,Comic
Stranger Things SIX (2019)/Stranger Things SIX (2019) #02.cbz,Stranger Things SIX (2019),Chapter 2,2,,2019,6,Jody Houser,Edgar Salazar,Dark Horse,Comic
Stranger Things SIX (2019)/Stranger Things SIX (2019) #03.cbz,Stranger Things SIX (2019),Chapter 3,3,,2019,7,Jody Houser,Edgar Salazar,Dark Horse,Comic
Stranger Things SIX (2019)/Stranger Things SIX (2019) #04.cbz,Stranger Things SIX (2019),Chapter 4,4,,2019,8,Jody Houser,Edgar Salazar,Dark Horse,Comic
Stumptown (2009)/Stumptown (2009) #01.cbz,Stumptown (2009),Stumptown (2009) #01,1,,2009,10,Greg Rucka,Matthew Southworth,Oni Press,Comic
Stumptown (2009)/Stumptown (2009) #02.cbz,Stumptown (2009),Stumptown (2009) #02,2,,2009,12,Greg Rucka,Matthew Southworth,Oni Press,Comic
Stumptown (2009)/Stumptown (2009) #03.cbz,Stumptown (2009),Stumptown (2009) #03,3,,2010,4,Greg Rucka,Matthew Southworth,Oni Press,Comic
Stumptown (2009)/Stumptown (2009) #04.cbz,Stumptown (2009),Stumptown (2009) #04,4,,2010,8,Greg Rucka,Matthew Southworth,Oni Press,Comic
Stumptown (2012)/Stumptown (2012) #01.cbz,Stumptown (2012),The Case of the Baby in the Velvet Case Part 1,1,,2012,9,Greg Rucka,Matthew Southworth,Oni Press,Comic
Stumptown (2012)/Stumptown (2012) #02.cbz,Stumptown (2012),The Case of the Baby in the Velvet Case Part 2,2,,2012,10,Greg Rucka,Matthew Southworth,Oni Press,Comic
Stumptown (2012)/Stumptown (2012) #03.cbz,Stumptown (2012),The Case of the Baby in the Velvet Case Part 3,3,,2012,11,Greg Rucka,Matthew Southworth,Oni Press,Comic
Stumptown (2012)/Stumptown (2012) #04.cbz,Stumptown (2012),The Case of the Baby in the Velvet Case Part 4,4,,2012,12,Greg Rucka,Matthew Southworth,Oni Press,Comic
Stumptown (2012)/Stumptown (2012) #05.cbz,Stumptown (2012),The Case of the Baby in the Velvet Case Part 5,5,,2013,1,Greg Rucka,Matthew Southworth,Oni Press,Comic
Stumptown (2014)/Stumptown (2014) #01.cbz,Stumptown (2014),The Case of the King of Clubs Part 1,1,,2014,9,Greg Rucka,Justin Greenwood,Oni Press,Comic
Stumptown (2014)/Stumptown (2014) #02.cbz,Stumptown (2014),The Case of the King of Clubs Part 2,2,,2014,10,Greg Rucka,Justin Greenwood,Oni Press,Comic
Stumptown (2014)/Stumptown (2014) #03.cbz,Stumptown (2014),The Case of the King of Clubs Part 3,3,,2014,11,Greg Rucka,Justin Greenwood,Oni Press,Comic
Stumptown (2014)/Stumptown (2014) #04.cbz,Stumptown (2014),The Case of the King of Clubs Part 4,4,,2014,12,Greg Rucka,Justin Greenwood,Oni Press,Comic
Stumptown (2014)/Stumptown (2014) #05.cbz,Stumptown (2014),The Case of the King of Clubs Part 5,5,,2015,1,Greg Rucka,Justin Greenwood,Oni Press,Comic
Stumptown (2014)/Stumptown (2014) #06.cbz,Stumptown (2014),The Case of a Cup of Joe Part 1,6,,2015,6,Greg Rucka,Justin Greenwood,Oni Press,Comic
Stumptown (2014)/Stumptown (2014) #07.cbz,Stumptown (2014),The Case of a Cup of Joe Part 2,7,,2015,8,Greg Rucka,Justin Greenwood,Oni Press,Comic
Stumptown (2014)/Stumptown (2014) #08.cbz,Stumptown (2014),The Case of a Cup of Joe Part 3,8,,2015,10,Greg Rucka,Justin Greenwood,Oni Press,Comic
Stumptown (2014)/Stumptown (2014) #09.cbz,Stumptown (2014),The Case of a Cup of Joe Part 4,9,,2016,3,Greg Rucka,Justin Greenwood,Oni Press,Comic
Stumptown (2014)/Stumptown (2014) #10.cbz,Stumptown (2014),The Case of the Night that Wouldn’t End,10,,2016,7,Greg Rucka,Justin Greenwood,Oni Press,Comic
The Adventures of Mick Sawyer (2013)/The Adventures of Mick Sawyer (2013) #01.cbz,The Adventures of Mick Sawyer (2013),The Adventures of Mick Sawyer (2013) #01,1,,2013,,Unknown,Unknown,Disney Comics,Comic
The Adventures of Mick Sawyer (2013)/The Adventures of Mick Sawyer (2013) #02.cbz,The Adventures of Mick Sawyer (2013),The Adventures of Mick Sawyer (2013) #02,2,,2013,,Unknown,Unknown,Disney Comics,Comic
The Amazing Mary Jane (2019)/The Amazing Mary Jane (2019) #01.cbz,The Amazing Mary Jane (2019),The Amazing Mary Jane (2019) #01,1,,2019,10,Leah Williams,Carlos Gómez,Marvel,Comic
The Amazing Mary Jane (2019)/The Amazing Mary Jane (2019) #02.cbz,The Amazing Mary Jane (2019),The Amazing Mary Jane (2019) #02,2,,2019,11,Leah Williams,Carlos Gómez,Marvel,Comic
The Amazing Mary Jane (2019)/The Amazing Mary Jane (2019) #03.cbz,The Amazing Mary Jane (2019),The Amazing Mary Jane (2019) #03,3,,2019,12,Leah Williams,"Carlos Gómez, Lucas Werneck",Marvel,Comic
The Amazing Mary Jane (2019)/The Amazing Mary Jane (2019) #04.cbz,The Amazing Mary Jane (2019),The Amazing Mary Jane (2019) #04,4,,2020,1,Leah Williams,Carlos Gómez,Marvel,Comic
The Amazing Mary Jane (2019)/The Amazing Mary Jane (2019) #05.cbz,The Amazing Mary Jane (2019),The Amazing Mary Jane (2019) #05,5,,2020,2,Leah Williams,Carlos Gómez,Marvel,Comic
The Amazing Mary Jane (2019)/The Amazing Mary Jane (2019) #06.cbz,The Amazing Mary Jane (2019),The Amazing Mary Jane (2019) #06,6,,2020,3,Leah Williams,"Carlos Gómez, Zé Carlos, AnnaPaola Martello",Marvel,Comic
The Amazing Spider-Man Masterworks/Volume #01.cbz,The Amazing Spider-Man Masterworks,Volume #01,1,Amazing Fantasy (1962) #15 & The Amazing Spider-Man (1963) #1-10,2020,,Stan Lee,"Steve Ditko, Jack Kirby",Marvel,Comic
The Amazing Spider-Man Masterworks/Volume #02.cbz,The Amazing Spider-Man Masterworks,Volume #02,2,"The Amazing Spider-Man (1963) #11-19, Annual #1",2017,,Stan Lee,Steve Ditko,Marvel,Comic
The Amazing Spider-Man Masterworks/Volume #03.cbz,The Amazing Spider-Man Masterworks,Volume #03,3,"The Amazing Spider-Man (1963) #20-30, Annual #2",2017,,Stan Lee,Steve Ditko,Marvel,Comic
The Amazing Spider-Man Masterworks/Volume #04.cbz,The Amazing Spider-Man Masterworks,Volume #04,4,The Amazing Spider-Man (1963) #31-40,2017,,Stan Lee,"Steve Ditko, John Romita",Marvel,Comic
The Amazing Spider-Man Masterworks/Volume #05.cbz,The Amazing Spider-Man Masterworks,Volume #05,5,"The Amazing Spider-Man (1963) #41-50, Annual #3",2017,,Stan Lee,"John Romita, Don Heck",Marvel,Comic
The Amazing Spider-Man Masterworks/Volume #06.cbz,The Amazing Spider-Man Masterworks,Volume #06,6,"The Amazing Spider-Man (1963) #51-61, Annual #4",2019,,Stan Lee,"John Romita, Don Heck, Larry Lieber",Marvel,Comic
The Amazing Spider-Man Masterworks/Volume #07.cbz,The Amazing Spider-Man Masterworks,Volume #07,7,"The Amazing Spider-Man (1963) #62-67, Annual #5 & The Spectacular Spider-Man (1968) #1-2",2019,,Stan Lee,"John Romita, Don Heck, Jim Mooney, Larry Lieber, Marie Severin",Marvel,Comic
The Amazing Spider-Man Masterworks/Volume #08.cbz,The Amazing Spider-Man Masterworks,Volume #08,8,The Amazing Spider-Man (1963) #68-77,2019,,Stan Lee,"John Romita, John Buscema, Jim Mooney",Marvel,Comic
The Amazing Spider-Man Masterworks/Volume #09.cbz,The Amazing Spider-Man Masterworks,Volume #09,9,The Amazing Spider-Man (1963) #78-87,2019,,Stan Lee,"John Romita, John Buscema, Jim Mooney",Marvel,Comic
The Amazing Spider-Man Masterworks/Volume #10.cbz,The Amazing Spider-Man Masterworks,Volume #10,10,The Amazing Spider-Man (1963) #88-99,2019,,Stan Lee,"John Romita, Gil Kane",Marvel,Comic
The Amazing Spider-Man Masterworks/Volume #11.cbz,The Amazing Spider-Man Masterworks,Volume #11,11,The Amazing Spider-Man (1963) #101-109,2019,,"Stan Lee, Roy Thomas","Gil Kane, John Romita",Marvel,Comic
